X61,X62,X63,Total Y
45.28420404,-0.258892179,58.21349726,107.6206
45.27559036,-0.457221987,58.22428723,107.8044
45.285613,-0.25950407,58.08115677,107.7426
45.22626806,-0.495786567,58.44910771,107.7504
45.28630625,-0.353062512,58.93490737,107.7045
45.2069379,-0.365179847,58.62078515,107.7624
45.15873422,-0.329442137,58.65910156,107.6727
45.14220719,-0.434199685,57.96780467,107.6113
45.11025277,-0.729818898,57.80354559,107.4826
45.10588327,-0.671023424,57.92663999,107.3784
45.07594346,-0.796605804,58.03216362,107.3109
45.09649299,-0.75531215,58.12429357,107.2651
45.04595224,-0.884737923,57.63958471,107.2124
45.02363923,-0.931826416,57.92707708,107.1388
45.01495529,-0.988011201,57.84535127,107.0918
45.00589102,-0.95740746,57.99093306,107.0461
44.96973381,-0.933724273,57.78449561,107.0073
44.94250666,-1.13466983,57.55116441,106.9651
44.94027077,-1.172048588,57.74580539,106.8999
44.92460466,-1.159337603,58.14362582,106.8481
44.9511723,-1.149860415,58.00431804,106.834
44.90778656,-1.190626078,58.13301638,106.7906
44.8932366,-1.38141429,57.86574315,106.7352
44.91317436,-1.421361599,57.71875444,106.7016
44.88121412,-1.426850991,57.74905156,106.6471
44.85883795,-1.496746688,57.82732659,106.6069
44.85165222,-1.555658487,57.81726924,106.5654
44.8498191,-1.604878436,57.79061321,106.5301
44.83550874,-1.688715863,57.69083328,106.4871
44.83007452,-2.008746497,57.19962957,106.429
44.82994044,-2.106577854,57.24608265,106.376
44.82644682,-2.244788904,57.39582071,106.3274
44.84450399,-2.34181007,57.08911871,106.2907
44.81826149,-2.380409804,57.32587399,106.2446
44.82183389,-2.421802873,57.46501553,106.2145
44.82699358,-2.469481814,57.18106219,106.1571
44.81181859,-2.617811481,57.23213653,106.1435
44.81128777,-2.681117142,57.34713301,106.0995
44.80559986,-2.781687824,57.34405309,106.0598
44.81615972,-2.986845598,57.09592781,106.0275
44.83548962,-3.065484195,56.91912791,105.9871
44.79866289,-3.339911084,56.70633549,105.9263
44.80378747,-3.594403585,56.53142372,105.8847
44.8045076,-3.795866394,56.34610368,105.8473
44.80693061,-3.796258133,56.61912826,105.7842
44.81705492,-3.779417505,56.68537906,105.7593
44.81719698,-3.862995062,56.52313959,105.7468
44.80796686,-3.963725482,56.69825893,105.7007
44.81850569,-4.167978653,56.66574137,105.692
44.85870766,-4.231173595,56.37965636,105.6759
44.81873501,-4.41162758,56.58670526,105.6343
44.8405196,-4.553593629,56.29351422,105.5923
44.83791014,-4.431715977,56.60705502,105.5394
44.82425337,-4.446671809,56.68224426,105.5545
44.83398285,-4.482430702,56.71289164,105.5236
44.84164574,-4.490999973,56.79066721,105.5117
44.84051832,-4.401171907,56.97553616,105.4885
44.83866362,-4.606938746,56.78961128,105.4775
44.84711084,-4.779760513,56.80903138,105.4438
44.87464637,-4.742607503,57.05248293,105.4049
44.8721773,-4.89308453,56.86242014,105.4047
44.86943734,-5.194208353,56.75371986,105.3705
44.87905455,-5.550589792,56.41396646,105.2842
44.87161735,-5.641798756,56.27822987,105.2542
44.87691211,-5.657600328,56.39954925,105.2295
44.88112155,-5.733834405,57.08440167,105.1999
44.92664808,-5.668188118,56.59015151,105.178
44.89870858,-5.616439982,56.76593858,105.185
44.89555241,-5.793422055,56.55186708,105.1634
44.8953334,-6.018126653,56.61387006,105.12
44.92272811,-6.221298717,56.40928542,105.0755
44.92856498,-6.388682164,56.31266132,105.0439
44.92769822,-6.614273056,56.02428374,104.9984
44.91556664,-6.816268111,56.13389992,104.9841
44.94541079,-6.900720403,56.25038627,104.954
44.94162842,-7.015977706,55.99759191,104.9162
44.94057155,-7.287799714,56.03551069,104.8858
44.96420382,-7.301259481,55.75524501,104.8587
44.95109177,-7.487267892,55.38907868,104.8353
44.93697509,-7.600719188,55.68227177,104.7924
44.95889919,-7.734430503,55.76204151,104.7731
44.97943214,-7.882341916,55.66646634,104.73
44.94597428,-8.044208325,55.61126149,104.7141
44.96530742,-8.129645694,55.85031718,104.6844
44.99146242,-8.214993389,55.39762441,104.6687
44.96383055,-8.404031392,55.32019659,104.6386
44.97150983,-8.549472848,55.26376352,104.603
44.98800589,-8.68403849,55.29251629,104.5769
44.976037,-8.773018839,55.38821398,104.544
44.98849238,-8.927597946,55.08683142,104.5146
44.97944104,-9.074237873,55.00661814,104.4796
44.98025742,-9.292703602,54.79449047,104.4532
44.97416731,-9.470974135,54.64227412,104.4046
44.9609346,-9.558142738,54.67714232,104.3743
44.95119649,-9.741572439,54.50756169,104.332
44.96525148,-9.811733989,54.61562645,104.3157
44.96716524,-9.713494374,54.72878688,104.2824
44.97888084,-9.702149493,54.66218682,104.297
44.97217151,-9.805098759,55.1533121,104.2728
45.04299751,-9.925347741,54.64232252,104.3821
45.01277557,-10.03580275,54.51459531,104.3253
44.99480821,-10.11318742,54.21308347,104.3035
44.96374232,-10.19974848,54.58758844,104.2616
44.96884991,-10.36304495,54.49894539,104.2279
44.95493571,-10.5033809,54.38620202,104.1534
44.95604434,-10.31765695,54.77398282,104.1235
44.98634449,-10.03656344,55.17229516,104.1598
45.01162201,-10.08817712,55.04890518,104.1884
44.98794116,-10.06155222,55.08817981,104.1646
44.99380234,-10.14161545,54.975994,104.1562
44.97899393,-10.27997188,54.93408147,104.0867
44.97351635,-10.50199764,54.54623461,104.0425
44.94065948,-10.6450224,54.29356072,104.0401
44.93353832,-10.78708413,54.2983424,104.0075
44.93876161,-10.77654573,54.43698334,103.9775
44.96212501,-10.80793595,54.34466916,103.9692
44.93764759,-10.92546732,54.20274383,103.95
44.93742484,-10.91700929,54.39802998,103.9229
44.94160398,-10.90759706,54.16443662,103.9048
44.93353811,-10.9527715,54.40045385,103.8958
44.9345477,-11.1652052,54.17181086,103.8765
44.91823487,-11.22150497,54.15780831,103.8226
44.91149012,-11.33413703,53.80604405,103.8135
44.90501296,-11.38311103,53.94437387,103.7494
44.89932809,-11.45438632,53.87930374,103.7122
44.89553154,-11.38695014,54.1178549,103.7389
44.89082114,-11.49912179,53.90230287,103.7263
44.87597476,-11.61650452,53.73535044,103.7019
44.86993947,-11.66283949,53.77279958,103.6732
44.8687461,-11.7894303,53.47970027,103.6491
44.84588774,-11.86128523,53.66983575,103.6161
44.85856839,-11.89896435,53.36029351,103.5992
44.83721381,-11.87796726,53.49837815,103.5779
44.84221454,-11.99210991,53.35420254,103.5657
44.82874728,-12.01955395,53.68048794,103.5382
44.83782769,-12.09790787,53.25020508,103.523
44.81052342,-12.20477491,53.23455146,103.4749
44.80348953,-12.1792702,53.28007954,103.466
44.81088555,-12.25639342,53.09401636,103.4597
44.79323998,-12.32404362,52.99163566,103.436
44.77789436,-12.32795206,53.2485768,103.4103
44.79063112,-12.46061837,53.02123698,103.3939
44.77450812,-12.40502839,52.85706731,103.3689
44.76632318,-12.47867302,52.9658901,103.3563
44.75414708,-12.59914152,52.96388405,103.3318
44.7646827,-12.61551221,53.05018734,103.3118
44.7705988,-12.55419365,53.02386865,103.3013
44.76628672,-12.55135806,52.97026368,103.2916
44.75883289,-12.5924804,52.89820522,103.2877
44.74504215,-12.6019328,52.75967342,103.2658
44.73989102,-12.71130451,52.63809868,103.2504
44.72199254,-12.81247074,52.57089421,103.2193
44.71347467,-12.79044719,53.27053015,103.197
44.78469836,-12.51974343,53.20978271,103.2108
44.77134773,-12.4426496,53.64342045,103.2284
44.79464556,-12.08657369,53.92827095,103.2438
44.81926834,-12.06376044,53.98676977,103.2876
44.82025261,-12.11065207,53.85996101,103.2845
44.81890908,-11.95450152,54.03285946,103.2744
44.80803031,-12.12288081,53.79526881,103.2744
44.78161649,-12.43484652,53.20848283,103.2418
44.74212938,-12.6097872,53.08787948,103.1783
44.73390263,-12.47651582,53.49901456,103.1358
44.78990828,-12.43910202,53.22347401,103.1438
44.73628541,-12.58319165,53.28252466,103.1443
44.75004823,-12.51181073,53.40996069,103.1087
44.76755656,-12.4453794,53.53606597,103.1282
44.76427631,-12.48534083,53.5009409,103.1258
44.75182138,-12.50097948,53.52198516,103.1058
44.7546699,-12.50471962,53.27665766,103.0905
44.73600398,-12.59365699,53.41066252,103.0783
44.74855676,-12.63008356,53.34914577,103.0637
44.75069891,-12.54552572,53.52879248,103.0315
44.73085675,-12.70152883,53.45724861,103.0352
44.73612106,-12.68187904,53.62985976,102.9935
44.74678318,-12.73128129,53.24646127,102.9856
44.70902865,-12.69692971,53.41775063,102.9756
44.73253143,-12.58091192,53.13539415,102.9892
44.74940195,-12.5830752,53.28075377,102.9828
44.72790222,-12.5826547,53.68074302,102.9749
44.74376626,-12.65521088,52.9923086,102.9583
44.72667498,-12.6493903,53.41124998,102.9515
44.74579407,-12.77996343,53.52703989,102.9288
44.71121175,-12.82985505,53.6123944,102.9212
44.72584443,-12.75357772,53.72025583,102.9091
44.7443907,-12.75490542,53.42664335,102.9114
44.71816959,-12.76493237,53.47116458,102.8961
44.72248311,-12.82063475,52.88583436,102.883
44.73551101,-12.69578325,53.46982042,102.8794
44.72711457,-12.72244048,53.54789236,102.875
44.72601981,-12.72246402,53.69277327,102.8408
44.74144311,-12.67304864,53.73806314,102.8531
44.73589306,-13.17868237,52.68959841,102.8484
44.61651115,-13.42604729,52.66071861,102.7429
44.60215565,-13.51061961,52.52811743,102.6848
44.60883817,-13.53487119,52.3642913,102.6634
44.59349517,-13.43831935,52.50145012,102.6449
44.6150964,-15.09833258,50.04494811,102.6437
44.1530514,-14.99668058,50.59088707,101.17
44.1781096,-14.86013757,49.76614159,101.23
44.15900095,-14.83897098,50.42100879,101.24
44.19948503,-14.81712056,50.23294193,101.26
44.20999277,-14.65325134,50.3570174,101.27
44.19434512,-14.72354043,50.32138456,101.29
44.17656065,-14.74522713,50.23294193,101.28
44.16370822,-14.63200353,50.35638526,101.27
44.16205045,-14.76304562,50.23333043,101.24
44.18561598,-14.67651811,50.35638526,101.27
44.17502696,-14.63489774,50.35638526,101.27
44.15773183,-14.75259935,50.23294193,101.26
44.09732828,-15.04060611,50.48555757,101.21
44.13469682,-14.90445306,51.28398848,101.18
44.21013861,-14.70737214,50.32060956,101.21
44.16788697,-14.67012728,50.3217815,101.23
44.17052242,-14.50843944,50.86662215,101.24
44.13475865,-14.56362353,51.02758565,101.23
